slice,n_images,map_P,map_R,map_R_cls0,map_R_cls1,map_R_cls2,map_mAP50,map_mAP50_95,map_mAP50_cls0,map_mAP50_cls1,map_mAP50_cls2,op_P,op_R,op_R_cls0,op_R_cls1,op_R_cls2,op_mAP50,op_mAP50_95,op_mAP50_cls0,op_mAP50_cls1,op_mAP50_cls2
all,2108,0.38303982495755645,0.37458419029771656,0.49233716475095785,0.11707317073170732,0.5143422354104846,0.2602164919752867,0.17410896531118458,0.356002663197852,0.03017869232876775,0.39446812039924034,0.5856092262793089,0.19369275446338605,0.24010217113665389,0.01951219512195122,0.32146389713155293,0.1631669786170463,0.11782807545181348,0.20095499707407427,0.01,0.2785459387770646
cond_EO_SU_DT,480,0.5062798476696861,0.4653563820230487,0.5767195767195767,0.10989010989010989,0.7094594594594594,0.42176069803438426,0.28662881978458954,0.521224999646998,0.09007920121752287,0.653977893238632,0.6666721666721668,0.35858385858385855,0.4126984126984127,0.054945054945054944,0.6081081081081081,0.30193475176065965,0.22012435942359357,0.3380945719361196,0.041666666666666664,0.5260430166791927
cond_EO_SU_NT,539,0.4510182889355119,0.1003777908846416,0.16806722689075632,0.019230769230769232,0.1138353765323993,0.0794477215708911,0.04859790238867474,0.13764522387074535,0.006666666666666667,0.0940312741752613,0.9102706711160549,0.04195968431829151,0.06722689075630252,0.009615384615384616,0.04903677758318739,0.03717597007947639,0.024568562643952394,0.0638,0.005,0.04272791023842917
cond_EO_WI_DT,598,0.37829285436272153,0.5455225183384552,0.6814345991561181,0.1721311475409836,0.783001808318264,0.39134192541759144,0.26950061342245724,0.5082499933321951,0.041012657145951543,0.6247631257746278,0.5365773678817157,0.32181971495107,0.37763713080168776,0.01639344262295082,0.5714285714285714,0.27273915054147113,0.20296427389534352,0.31208713120105536,0.009999999999999998,0.49613032042335803
cond_IR_SU_NT,491,0.34294897075689373,0.25764456699263477,0.34173669467787116,0.021505376344086023,0.40969162995594716,0.1463875947472643,0.09728635701347631,0.19987677683623956,0.003333333333333333,0.23595267407221995,0.40577114427860694,0.042304733934689885,0.047619047619047616,0.0,0.07929515418502203,0.03088463825403792,0.024851602236220363,0.035166666666666666,0.0,0.05748724809544709
wave_1,306,0.3898880303943595,0.43647151355831104,0.543778801843318,0.13333333333333333,0.6323024054982818,0.31787288199418523,0.21578611694884975,0.37476338420396277,0.06502800608828005,0.513827255690313,0.6278942613987544,0.24721047714064012,0.2488479262672811,0.06666666666666667,0.4261168384879725,0.2073023509145917,0.15460142708965188,0.19601297205988194,0.048333333333333325,0.3775607473505598
wave_2,288,0.379072401171447,0.38058163153271846,0.5590909090909091,0.140625,0.4420289855072464,0.27671346616181186,0.18863299743307993,0.4225239267929707,0.06484310610741013,0.3427733655850548,0.5941176470588235,0.20064503732981995,0.2590909090909091,0.03125,0.3115942028985507,0.17719610218185455,0.13069225006089843,0.22130430332672926,0.035,0.2752840032188344
wave_3,346,0.3810285016875026,0.3957591373953913,0.5131086142322098,0.11764705882352941,0.5565217391304348,0.27303614399112036,0.18544330051914198,0.3762395881722548,0.029854030501089323,0.4130148133000169,0.5524132730015082,0.1871741205845634,0.21348314606741572,0.014705882352941176,0.3333333333333333,0.16321447600308392,0.12315515663885034,0.19033197017407544,0.015,0.2843114578351763
wave_4,300,0.39307898485530063,0.3981472175880329,0.5077519379844961,0.19230769230769232,0.4943820224719101,0.2791853359083329,0.18110054995119917,0.4127099552304655,0.06011572495396576,0.3647303275405673,0.6117149758454107,0.20684285519665713,0.28294573643410853,0.019230769230769232,0.31835205992509363,0.18068657132182672,0.12393316618452425,0.26463093576289337,0.015,0.2624287782025868
wave_5,296,0.3995415518995509,0.39316775577516827,0.5170731707317073,0.14285714285714285,0.5195729537366548,0.27298185903066896,0.18875198266046064,0.3853382470453549,0.041839967423394075,0.3917673626232579,0.46479885057471265,0.18670254318201543,0.2682926829268293,0.0,0.2918149466192171,0.15884139766105285,0.11673586202276467,0.2191778199126766,0.0,0.2573463730704819
